,Location,Fuel_Type,Transmission,Owner_Type,Brand,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
33,Kolkata,Diesel,Automatic,First,Audi,2010,35000,12.4,2698.0,179.5,5.0,11.5
34,Coimbatore,Petrol,Manual,Second,Volkswagen,2014,55431,16.09,1598.0,103.5,5.0,6.98
35,Jaipur,Petrol,Manual,Second,Maruti,2009,83816,14.0,1061.0,64.0,5.0,1.85
36,Kochi,Diesel,Manual,First,Maruti,2018,50075,24.3,1248.0,88.5,5.0,8.63
37,Delhi,Petrol,Manual,First,Mahindra,2017,52000,18.15,1198.0,82.0,5.0,4.85
38,Pune,Diesel,Automatic,First,Mercedes-Benz,2013,85000,11.74,2987.0,254.8,5.0,28.0
39,Chennai,Diesel,Manual,First,Volkswagen,2013,62000,22.07,1199.0,73.9,5.0,5.0
40,Delhi,Petrol,Manual,Second,Maruti,2008,90000,19.7,796.0,46.3,5.0,1.25
41,Kochi,Petrol,Manual,First,Tata,2014,19698,25.4,624.0,37.5,4.0,1.53
42,Coimbatore,Diesel,Manual,First,Mahindra,2017,22033,25.32,1198.0,77.0,6.0,5.58
43,Kochi,Petrol,Manual,First,Hyundai,2014,35487,18.5,1197.0,82.9,5.0,4.74
44,Bangalore,Petrol,Automatic,First,Hyundai,2014,46374,14.62,1999.0,149.92,5.0,8.85
45,Mumbai,Petrol,Automatic,First,Toyota,2016,52001,14.28,1798.0,138.03,5.0,10.11
46,Ahmedabad,Diesel,Manual,Second,Hyundai,2008,58005,14.9,1991.0,112.2,5.0,4.25
47,Bangalore,Petrol,Manual,First,Toyota,2012,70704,11.25,2694.0,163.7,7.0,10.95
48,Jaipur,Diesel,Manual,First,Hyundai,2014,75000,24.4,1120.0,71.0,5.0,3.85
49,Jaipur,Diesel,Manual,Second,Mahindra,2012,75800,16.55,2498.0,105.0,6.0,5.5
50,Kochi,Diesel,Automatic,First,Audi,2015,13648,17.11,1968.0,174.33,5.0,21.43
51,Delhi,Diesel,Manual,First,Maruti,2014,52000,22.9,1248.0,74.0,5.0,4.25
52,Kolkata,Diesel,Manual,First,Maruti,2014,53000,17.8,1248.0,75.0,5.0,3.3
53,Delhi,Diesel,Manual,First,Maruti,2013,65650,28.4,1248.0,74.0,5.0,3.85
54,Chennai,Petrol,Manual,Third,Hyundai,2015,54000,18.9,1197.0,82.0,5.0,3.6
55,Kolkata,Petrol,Manual,First,Volkswagen,2015,39000,15.04,1598.0,103.2,5.0,3.99
56,Kochi,Petrol,Manual,First,Renault,2017,16542,25.17,799.0,53.3,5.0,3.3
57,Kolkata,Petrol,Manual,First,Hyundai,2010,32000,20.36,1197.0,78.9,5.0,2.07
59,Hyderabad,Petrol,Manual,First,Maruti,2010,39300,18.2,998.0,67.1,5.0,2.25
60,Mumbai,Diesel,Manual,First,Toyota,2017,22000,13.68,2393.0,147.8,8.0,16.5
61,Bangalore,Diesel,Manual,First,Ford,2010,72000,20.0,1399.0,68.0,5.0,2.75
62,Delhi,Petrol,Automatic,First,Mercedes-Benz,2015,58000,11.74,1796.0,186.0,5.0,26.7
63,Pune,Diesel,Manual,Second,Mercedes-Benz,2011,65000,15.8,2148.0,170.0,5.0,10.0
65,Jaipur,Diesel,Automatic,First,Audi,2012,65664,16.55,1968.0,140.0,5.0,13.5
66,Mumbai,Petrol,Automatic,Second,Honda,2007,63000,16.4,1497.0,78.0,5.0,1.85
67,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2019,15369,0.0,1950.0,194.0,5.0,35.67
68,Pune,Diesel,Manual,First,Maruti,2016,63000,24.52,1248.0,88.5,7.0,8.15
69,Mumbai,Diesel,Manual,First,Hyundai,2018,13000,22.1,1396.0,88.7,5.0,10.5
71,Mumbai,Diesel,Manual,First,Mahindra,2015,55729,15.1,2179.0,140.0,7.0,9.65
72,Kochi,Petrol,Automatic,First,Hyundai,2012,45178,16.95,1197.0,78.9,5.0,3.48
73,Kochi,Diesel,Manual,First,Nissan,2015,56066,19.64,1461.0,108.5,5.0,6.92
74,Coimbatore,Petrol,Automatic,Second,Honda,2016,37300,16.5,1198.0,86.8,5.0,6.46
75,Delhi,Diesel,Automatic,Second,Audi,2014,56000,18.53,1968.0,187.74,5.0,29.5
79,Hyderabad,Petrol,Manual,First,Hyundai,2005,87591,0.0,1086.0,113.0,5.0,1.3
80,Jaipur,Diesel,Manual,First,Maruti,2012,95100,22.9,1248.0,74.0,5.0,3.75
81,Pune,Petrol,Manual,First,Tata,2017,70000,17.57,1193.0,88.7,5.0,4.5
82,Kochi,Petrol,Manual,First,Honda,2016,54944,18.0,1198.0,86.7,5.0,4.82
83,Hyderabad,Diesel,Manual,First,Ford,2012,70337,20.0,1399.0,68.0,5.0,2.8
84,Jaipur,Diesel,Manual,First,Maruti,2013,99638,23.2,1248.0,73.94,5.0,3.11
85,Delhi,Petrol,Manual,First,Honda,2009,52000,17.8,1497.0,117.3,5.0,3.25
86,Delhi,Diesel,Automatic,Second,BMW,2011,75000,16.73,1995.0,218.0,5.0,13.9
87,Pune,Petrol,Manual,First,Hyundai,2009,95980,20.36,1197.0,78.9,5.0,2.25
88,Bangalore,Petrol,Manual,First,Hyundai,2016,16000,18.9,1197.0,82.0,5.0,5.75
89,Hyderabad,Petrol,Manual,First,Hyundai,2007,73745,17.0,1086.0,113.0,5.0,2.1
90,Mumbai,Petrol,Manual,First,Honda,2016,18949,17.8,1198.0,86.7,5.0,5.0
92,Coimbatore,Diesel,Automatic,First,Audi,2018,48367,17.68,1968.0,174.33,5.0,39.58
93,Delhi,Diesel,Manual,First,Ford,2013,57000,22.7,1498.0,89.84,5.0,5.5
94,Delhi,Diesel,Manual,First,Mahindra,2014,58000,15.1,2179.0,140.0,7.0,8.1
95,Kolkata,Diesel,Manual,First,Honda,2015,30000,25.8,1498.0,98.6,5.0,3.5
96,Kolkata,Diesel,Manual,First,Volkswagen,2013,34212,22.07,1199.0,73.9,5.0,2.79
97,Ahmedabad,Diesel,Manual,First,Hyundai,2010,70002,16.2,1493.0,110.0,5.0,3.45
98,Bangalore,Petrol,Manual,First,Maruti,2016,62000,18.9,998.0,67.1,5.0,4.45
99,Delhi,Petrol,Manual,First,Volkswagen,2010,62001,15.26,1598.0,103.5,5.0,2.65
100,Pune,Diesel,Manual,Second,Hyundai,2011,78958,23.0,1396.0,90.0,5.0,3.8
101,Mumbai,Petrol,Manual,First,Hyundai,2014,30180,18.5,1197.0,82.85,5.0,4.65
102,Pune,Petrol,Manual,First,Datsun,2017,32851,19.83,1198.0,67.0,7.0,3.95
103,Kolkata,Diesel,Automatic,First,Audi,2010,30000,14.94,2967.0,241.4,5.0,9.8
104,Pune,Petrol,Manual,Second,Hyundai,2009,66000,17.0,1197.0,80.0,5.0,2.7
105,Coimbatore,Petrol,Manual,First,Maruti,2010,93850,14.0,796.0,35.0,5.0,2.41
106,Ahmedabad,Petrol,Manual,First,Toyota,2014,53000,17.71,1197.0,78.9,5.0,3.9
107,Hyderabad,Diesel,Automatic,Second,Jaguar,2011,78000,14.74,2993.0,270.9,5.0,24.0
108,Delhi,Diesel,Manual,Second,Mahindra,2012,65000,16.0,2179.0,140.0,7.0,5.75
109,Kolkata,Diesel,Automatic,First,Hyundai,2014,40000,22.32,1582.0,126.32,5.0,5.25
110,Mumbai,Diesel,Automatic,First,Toyota,2017,30000,11.36,2755.0,171.5,7.0,19.25
111,Coimbatore,Petrol,Manual,First,Maruti,2017,38053,15.1,1196.0,73.0,5.0,3.91
112,Bangalore,Petrol,Manual,First,Tata,2014,25500,25.4,624.0,37.5,4.0,2.15
113,Mumbai,Diesel,Automatic,First,BMW,2015,56087,22.69,1995.0,190.0,5.0,20.75
114,Delhi,Petrol,Manual,First,Honda,2010,71088,13.5,1799.0,130.0,5.0,3.35
115,Ahmedabad,Diesel,Manual,First,Toyota,2014,55000,12.99,2494.0,100.6,7.0,11.11
116,Bangalore,Diesel,Automatic,First,Volvo,2014,32700,23.3,1984.0,150.0,5.0,20.0
117,Coimbatore,Petrol,Automatic,First,Nissan,2016,39882,19.15,1198.0,75.94,5.0,6.55
119,Mumbai,Diesel,Manual,First,Maruti,2016,55000,24.3,1248.0,88.5,5.0,7.5
121,Pune,Diesel,Automatic,Second,Mercedes-Benz,2014,53753,15.0,2143.0,107.3,5.0,16.75
122,Kolkata,Diesel,Manual,First,Hyundai,2018,10250,22.0,1582.0,126.2,5.0,10.95
123,Pune,Petrol,Manual,First,Maruti,2011,43874,18.9,998.0,67.1,5.0,2.45
124,Coimbatore,Petrol,Automatic,First,Tata,2017,32684,21.9,624.0,37.48,4.0,3.23
125,Kolkata,Diesel,Manual,First,Mahindra,2014,42000,12.05,2179.0,120.0,8.0,7.75
126,Kolkata,Petrol,Automatic,First,Mercedes-Benz,2009,28352,11.7,1796.0,178.0,5.0,9.35
127,Pune,CNG,Manual,First,Maruti,2013,89900,26.6,998.0,58.16,5.0,3.25
128,Bangalore,Petrol,Manual,Second,Honda,2007,47700,10.8,2354.0,152.0,5.0,5.25
129,Pune,Diesel,Automatic,First,Volkswagen,2015,55000,21.21,1498.0,103.2,5.0,7.25
130,Kochi,Petrol,Manual,First,Maruti,2017,44285,20.73,1373.0,91.1,5.0,7.47
131,Jaipur,Diesel,Automatic,First,Mahindra,2016,54000,16.0,2179.0,140.0,7.0,13.25
132,Coimbatore,Petrol,Manual,First,Maruti,2016,30232,21.1,1197.0,85.8,5.0,5.81
133,Hyderabad,Petrol,Manual,First,Maruti,2014,88500,24.07,998.0,67.1,5.0,2.6
134,Kolkata,Petrol,Automatic,First,Mercedes-Benz,2017,13372,19.0,2996.0,362.07,2.0,54.0
135,Kochi,Petrol,Automatic,First,Hyundai,2019,12645,17.0,1591.0,121.3,5.0,11.5
136,Chennai,Petrol,Manual,Second,Maruti,2010,94385,19.7,796.0,46.3,5.0,1.6
137,Coimbatore,Diesel,Automatic,First,BMW,2015,31821,20.58,1995.0,143.0,5.0,17.22
138,Mumbai,Petrol,Automatic,First,Honda,2015,12000,19.0,1199.0,88.7,5.0,6.0
139,Delhi,Petrol,Manual,First,Honda,2012,88578,13.5,1799.0,130.0,5.0,3.95
140,Kochi,Diesel,Automatic,First,Mercedes-Benz,2014,44965,19.27,2143.0,170.0,5.0,17.95
141,Kolkata,Diesel,Manual,First,Honda,2014,45044,25.8,1498.0,98.6,5.0,3.7
142,Kochi,Petrol,Manual,First,Maruti,2016,34204,22.0,1197.0,81.8,5.0,5.43
143,Kochi,Petrol,Manual,Third,Hyundai,2008,80759,17.0,1086.0,113.0,5.0,1.67
144,Coimbatore,Diesel,Manual,First,Toyota,2012,91235,11.5,2982.0,171.0,7.0,13.49
145,Pune,Petrol,Manual,First,Chevrolet,2014,38800,18.6,1199.0,76.8,5.0,2.85
146,Chennai,Diesel,Manual,First,Skoda,2013,83000,21.14,1498.0,103.52,5.0,4.75
147,Kochi,Petrol,Manual,First,Maruti,2018,41283,20.73,1373.0,91.1,5.0,9.9
148,Mumbai,Petrol,Automatic,First,Audi,2013,23000,11.05,2894.0,444.0,4.0,37.0
149,Mumbai,Diesel,Automatic,First,BMW,2014,48000,21.76,1995.0,190.0,5.0,26.5
150,Coimbatore,Diesel,Automatic,First,Audi,2015,48214,17.11,1968.0,174.33,5.0,23.32
151,Chennai,Diesel,Manual,First,Maruti,2016,35000,22.9,1248.0,74.0,5.0,6.25
153,Coimbatore,Diesel,Automatic,First,Skoda,2016,54620,21.66,1498.0,103.52,5.0,9.86
155,Kochi,Petrol,Manual,First,Hyundai,2019,14322,21.1,814.0,55.2,5.0,4.23
156,Jaipur,Diesel,Manual,First,Volkswagen,2012,65634,22.07,1199.0,73.9,5.0,3.5
157,Kolkata,Petrol,Manual,First,Datsun,2016,6000,20.63,1198.0,67.06,5.0,2.5
158,Kolkata,Petrol,Manual,First,Honda,2013,33280,19.4,1198.0,86.8,5.0,2.39
159,Delhi,Petrol,Automatic,First,Mercedes-Benz,2013,29000,14.8,1595.0,120.7,5.0,11.25
160,Kochi,Diesel,Manual,First,Honda,2015,42831,26.0,1498.0,98.6,5.0,7.11
161,Ahmedabad,Diesel,Manual,First,Toyota,2016,90000,12.99,2494.0,100.6,7.0,10.9
162,Ahmedabad,Petrol,Manual,First,Maruti,2017,24005,20.4,1197.0,81.8,5.0,6.2
163,Mumbai,Diesel,Manual,First,Mahindra,2012,32792,15.1,2179.0,140.0,7.0,7.9
166,Chennai,Diesel,Automatic,First,Volkswagen,2013,65000,21.5,1498.0,108.5,5.0,6.25
167,Jaipur,Diesel,Manual,Second,Ford,2010,66123,20.0,1399.0,68.0,5.0,2.1
168,Mumbai,Diesel,Automatic,First,BMW,2015,41000,15.3,2993.0,258.0,5.0,45.0
169,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2017,23550,19.27,2143.0,167.62,5.0,33.66
170,Bangalore,Petrol,Manual,Second,Honda,2012,45000,19.4,1198.0,86.8,5.0,3.65
171,Delhi,Petrol,Manual,First,Hyundai,2013,60000,20.36,1197.0,78.9,5.0,2.75
172,Bangalore,Diesel,Automatic,First,Mercedes-Benz,2016,44414,17.9,2143.0,170.0,5.0,42.5
173,Kolkata,Petrol,Manual,First,Hyundai,2019,1000,18.9,1197.0,81.86,5.0,6.5
174,Mumbai,Diesel,Automatic,Second,Audi,2012,62500,17.68,1968.0,174.33,5.0,19.0
175,Mumbai,Petrol,Automatic,Second,Volkswagen,2013,21000,14.4,1598.0,103.6,5.0,4.45
176,Jaipur,Diesel,Automatic,Second,Mini,2017,8525,16.6,1998.0,112.0,5.0,23.0
177,Bangalore,Diesel,Manual,First,Hyundai,2014,29000,22.54,1396.0,88.73,5.0,8.35
178,Mumbai,Diesel,Automatic,First,Audi,2014,40000,17.68,1968.0,174.33,5.0,22.95
179,Jaipur,Diesel,Manual,First,Chevrolet,2012,88000,25.44,936.0,57.6,5.0,1.5
180,Kochi,Petrol,Automatic,First,Skoda,2012,53537,13.7,1798.0,157.75,5.0,6.89
182,Hyderabad,Diesel,Automatic,First,BMW,2014,51000,22.48,1995.0,190.0,5.0,33.5
184,Hyderabad,Diesel,Manual,First,Volkswagen,2012,63000,22.07,1199.0,73.9,5.0,4.2
185,Mumbai,Diesel,Manual,First,Renault,2015,25000,19.98,1461.0,108.5,8.0,6.75
186,Bangalore,Diesel,Automatic,First,Mercedes-Benz,2014,37382,13.0,2143.0,201.1,5.0,32.0
187,Kochi,Petrol,Manual,First,Maruti,2017,24773,21.4,1197.0,83.1,5.0,7.5
188,Delhi,Diesel,Manual,First,Hyundai,2012,62000,22.32,1582.0,126.32,5.0,4.6
189,Kochi,Petrol,Manual,First,Hyundai,2017,52340,19.81,1086.0,68.05,5.0,4.04
190,Kochi,Diesel,Manual,First,Mahindra,2016,56739,15.4,1997.0,120.0,7.0,10.31
191,Coimbatore,Diesel,Automatic,First,Land,2018,36091,12.7,2179.0,187.7,5.0,55.76
193,Mumbai,Diesel,Manual,First,Maruti,2016,33000,25.47,1248.0,88.5,7.0,8.5
195,Kolkata,Diesel,Manual,First,Honda,2014,52000,25.8,1498.0,98.6,5.0,3.5
196,Jaipur,Petrol,Manual,First,Hyundai,2015,43571,20.36,1197.0,78.9,5.0,3.55
197,Kolkata,Diesel,Manual,First,Honda,2013,50000,25.8,1498.0,98.6,5.0,3.25
199,Delhi,Diesel,Manual,First,Renault,2014,90000,19.87,1461.0,83.8,5.0,5.35
200,Chennai,Diesel,Manual,Second,Mahindra,2017,29000,17.45,1493.0,100.0,7.0,6.5
201,Mumbai,Diesel,Manual,First,Maruti,2016,20000,24.3,1248.0,88.5,5.0,9.0
202,Kochi,Petrol,Manual,First,Hyundai,2016,61012,18.6,1197.0,81.83,5.0,6.0
203,Jaipur,Petrol,Manual,First,Skoda,2009,87459,14.7,1390.0,85.0,5.0,2.75
204,Pune,Petrol,Manual,First,Tata,2010,70500,15.64,1193.0,64.1,5.0,1.5
205,Delhi,Diesel,Automatic,First,Audi,2015,64103,15.73,1968.0,174.33,5.0,19.9
206,Mumbai,Petrol,Automatic,First,Skoda,2014,76000,14.7,1798.0,177.5,5.0,10.0
209,Kochi,Petrol,Automatic,First,Mercedes-Benz,2014,37245,14.8,1595.0,120.7,5.0,11.96
210,Kolkata,Diesel,Manual,First,Honda,2013,45000,27.4,1498.0,98.6,5.0,3.25
212,Mumbai,Diesel,Manual,First,Renault,2014,30000,20.46,1461.0,83.8,5.0,5.95
213,Delhi,Petrol,Manual,Second,Hyundai,2015,27057,15.29,1591.0,121.3,5.0,8.15
214,Mumbai,Petrol,Automatic,First,Maruti,2016,8500,20.51,998.0,67.0,5.0,4.22
215,Kolkata,Petrol,Automatic,First,Mercedes-Benz,2010,30500,11.74,1796.0,186.0,5.0,10.5
216,Delhi,Diesel,Automatic,First,Audi,2012,56000,11.8,2967.0,246.7,5.0,45.0
217,Pune,Petrol,Manual,Second,Hyundai,2012,44000,19.81,1086.0,68.05,5.0,2.9
218,Mumbai,Petrol,Automatic,First,Skoda,2017,10500,14.3,1598.0,103.52,5.0,8.9
219,Hyderabad,Petrol,Automatic,First,Skoda,2017,26000,14.67,1798.0,177.46,5.0,26.0
220,Coimbatore,Petrol,Manual,First,Hyundai,2018,25166,17.19,1197.0,81.86,5.0,8.22
221,Kolkata,Diesel,Manual,Second,Honda,2014,64000,25.8,1498.0,98.6,5.0,3.5
222,Chennai,Petrol,Manual,Second,Maruti,2004,61000,18.9,998.0,67.1,5.0,1.25
224,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2018,29161,19.27,2143.0,167.62,5.0,39.41
225,Kolkata,Petrol,Manual,First,Maruti,2013,32000,22.5,998.0,67.04,5.0,2.65
226,Coimbatore,Diesel,Manual,Second,Nissan,2015,46173,19.01,1461.0,108.5,5.0,8.92
227,Delhi,Diesel,Manual,First,Maruti,2013,47000,17.8,1248.0,113.0,5.0,4.1
228,Kochi,Petrol,Automatic,First,Mini,2017,26327,16.82,1998.0,189.08,4.0,35.67
231,Kochi,Petrol,Manual,Second,Chevrolet,2016,60813,18.6,1199.0,76.8,5.0,3.32
232,Mumbai,Diesel,Manual,First,Volkswagen,2012,45000,22.07,1199.0,73.9,5.0,3.6
233,Hyderabad,Diesel,Manual,First,Maruti,2016,64000,22.9,1248.0,74.0,5.0,6.8
234,Kolkata,Diesel,Manual,First,Ford,2012,41284,20.0,1399.0,68.05,5.0,2.5
235,Kochi,Diesel,Automatic,First,Toyota,2019,14165,11.36,2755.0,171.5,7.0,19.64
236,Mumbai,Diesel,Automatic,Second,Hyundai,2011,67000,11.72,2199.0,194.3,7.0,7.0
237,Kolkata,Petrol,Manual,First,Honda,2011,32572,17.4,1497.0,117.3,5.0,3.87
238,Kochi,Petrol,Manual,First,Hyundai,2018,14960,18.6,1197.0,81.83,5.0,6.27
239,Kochi,Diesel,Automatic,First,Mercedes-Benz,2015,55980,19.27,2143.0,167.62,5.0,18.12
240,Mumbai,Diesel,Manual,First,Chevrolet,2013,74000,25.44,936.0,57.6,5.0,2.65
241,Kochi,Diesel,Manual,First,Hyundai,2015,56847,22.54,1396.0,88.73,5.0,7.2
243,Chennai,Diesel,Manual,First,Maruti,2013,52000,20.77,1248.0,88.76,7.0,6.9
245,Mumbai,Petrol,Manual,Third,Hyundai,2007,72000,17.0,1086.0,113.0,5.0,0.95
246,Kochi,Petrol,Manual,First,Honda,2016,33915,17.8,1497.0,117.3,5.0,8.09
247,Ahmedabad,Diesel,Automatic,First,BMW,2014,82002,17.05,1995.0,184.0,5.0,18.5
248,Mumbai,Diesel,Manual,First,Hyundai,2017,33000,24.0,1120.0,70.0,5.0,4.75
249,Chennai,Diesel,Manual,First,Maruti,2016,34000,28.09,1248.0,88.5,5.0,8.45
250,Kolkata,Diesel,Manual,First,Skoda,2012,55000,20.5,1598.0,103.6,5.0,3.5
252,Jaipur,Diesel,Manual,Second,Volkswagen,2014,60000,19.91,1498.0,103.6,5.0,3.7
253,Coimbatore,Petrol,Manual,First,Honda,2017,49575,18.7,1199.0,88.7,5.0,7.17
254,Jaipur,Petrol,Manual,First,Hyundai,2010,83000,19.81,1086.0,68.05,5.0,1.75
255,Kochi,Diesel,Automatic,First,Hyundai,2018,51346,16.38,1995.0,183.0,5.0,21.99
256,Pune,Diesel,Manual,First,Toyota,2017,43000,13.68,2393.0,147.8,7.0,18.65
257,Jaipur,Petrol,Manual,Third,Maruti,2011,35000,19.7,796.0,35.0,5.0,1.85
258,Coimbatore,Petrol,Manual,Second,Maruti,2017,27872,20.4,1197.0,81.8,5.0,5.95
259,Mumbai,Petrol,Manual,First,Hyundai,2014,16514,18.9,1197.0,82.0,5.0,3.75
262,Hyderabad,Petrol,Manual,First,Hyundai,2006,99000,0.0,1086.0,113.0,5.0,1.75
263,Mumbai,Petrol,Manual,First,Hyundai,2010,52000,17.0,1197.0,80.0,5.0,2.8
264,Coimbatore,Diesel,Automatic,First,Mercedes-Benz,2017,29819,11.57,2987.0,254.79,5.0,61.29
265,Bangalore,Diesel,Manual,Second,Mercedes-Benz,2014,57000,15.8,2148.0,170.0,5.0,18.0
266,Hyderabad,Diesel,Manual,First,Maruti,2014,88500,23.2,1248.0,73.94,5.0,4.35
267,Bangalore,Diesel,Manual,First,Hyundai,2016,28000,19.67,1582.0,126.2,5.0,13.75
268,Pune,Petrol,Manual,First,Maruti,2010,67000,19.0,998.0,66.1,5.0,2.0
269,Delhi,Diesel,Manual,First,Renault,2016,26000,19.64,1461.0,108.45,5.0,10.0
271,Coimbatore,Diesel,Automatic,First,BMW,2017,51982,16.55,2993.0,258.0,5.0,45.77
272,Bangalore,Petrol,Manual,Second,Hyundai,2010,36000,20.36,1197.0,78.9,5.0,3.25
273,Pune,Diesel,Manual,First,Toyota,2016,47000,12.8,2494.0,102.0,7.0,12.8
274,Mumbai,Petrol,Manual,Third,Maruti,2002,60000,17.3,993.0,60.0,5.0,0.55
275,Hyderabad,Diesel,Manual,First,Maruti,2018,31025,28.4,1248.0,74.0,5.0,7.15
278,Mumbai,Petrol,Manual,First,Ford,2017,22695,18.88,999.0,123.24,5.0,8.5
279,Jaipur,Diesel,Manual,First,Maruti,2012,73000,23.4,1248.0,74.0,5.0,4.35
280,Kochi,Petrol,Manual,First,Maruti,2016,32227,22.74,796.0,47.3,5.0,3.26
281,Jaipur,Petrol,Manual,First,Honda,2011,55000,17.0,1497.0,118.0,5.0,4.21
282,Kochi,Diesel,Automatic,First,Audi,2018,11287,12.07,2967.0,241.4,7.0,70.36
283,Mumbai,Diesel,Automatic,Second,Skoda,2009,48000,17.0,1896.0,105.0,5.0,2.95
284,Kochi,Petrol,Manual,First,Hyundai,2012,54308,17.1,1591.0,121.3,5.0,4.28
285,Jaipur,Petrol,Automatic,First,Honda,2009,78442,16.8,1497.0,118.0,5.0,3.57
286,Kolkata,Diesel,Manual,First,Hyundai,2013,46000,21.9,1396.0,88.8,5.0,3.11
287,Coimbatore,Petrol,Automatic,First,Hyundai,2014,45051,15.0,1396.0,98.6,5.0,5.96
288,Hyderabad,Diesel,Manual,First,Volkswagen,2011,69000,20.54,1598.0,103.6,5.0,4.7
289,Ahmedabad,Petrol,Manual,First,Honda,2014,49000,17.4,1497.0,117.3,5.0,6.9
290,Pune,Diesel,Manual,First,Tata,2018,45000,22.95,1248.0,74.0,5.0,5.25
291,Pune,Diesel,Automatic,First,BMW,2015,64000,18.48,1995.0,177.0,5.0,28.0
292,Delhi,Petrol,Manual,First,Maruti,2009,60000,18.9,1061.0,67.0,5.0,1.35
293,Delhi,Petrol,Manual,First,Honda,2015,62178,18.2,1199.0,88.7,5.0,4.85
294,Coimbatore,Diesel,Manual,First,Volkswagen,2012,58006,15.0,1896.0,105.0,5.0,6.7
295,Hyderabad,Petrol,Manual,First,Hyundai,2010,74000,20.36,1197.0,78.9,5.0,3.1
296,Kochi,Diesel,Automatic,First,Mercedes-Benz,2015,77771,19.27,2143.0,170.0,5.0,18.64
297,Pune,Petrol,Manual,First,Hyundai,2012,45275,20.36,1197.0,78.9,5.0,2.8
298,Chennai,Diesel,Manual,First,Toyota,2016,48000,13.68,2393.0,147.8,7.0,20.25
299,Kochi,Diesel,Automatic,First,Audi,2015,31652,17.68,1968.0,174.33,5.0,26.78
301,Mumbai,Petrol,Manual,First,Volkswagen,2015,31978,16.47,1198.0,73.9,5.0,3.89
302,Hyderabad,Petrol,Manual,First,Maruti,2011,70000,20.92,998.0,67.1,5.0,2.1
303,Mumbai,Petrol,Automatic,First,Honda,2017,15000,18.0,1497.0,117.3,5.0,12.69
